tagItemSetC001Name|Đồng Phục Vệ Binh
tagGDX1ItemSetD108Name|Cơn Cuồng Nộ của Korba
tagGDX1ItemSetD109Name|Trang Bị Hắc Hoả
tagGDX1ItemSetD110Name|Tai Ương Ma Pháp
tagGDX1ItemSetD111Name|Thợ Săn Pháp Sư
tagGDX1ItemSetD112Name|Cơn Khát của Valguur
tagGDX1ItemSetD113Name|Cổ Ngữ Phong Ấn Giả
tagGDX1ItemSetD114Name|Ngoại Trang của Uroboruuk
tagGDX1ItemSetD115Name|Kiệt Tác của Allagast
tagGDX1ItemSetD116Name|Sự Huỷ Diệt của Dagallon
tagGDX1ItemSetD117Name|Hộ Vệ Tử Thần
tagGDX1ItemSetD118Name|Tầm Nhìn của Nhà Tiên Tri
tagGDX1ItemSetD119Name|Món Quà từ Kẻ Hắc Ám
tagGDX1ItemSetD120Name|Sự Cuồng Sát của Belgothian
tagGDX1ItemSetD121Name|Sự Điên Cuồng của Radaggan
tagGDX1ItemSetD122Name|Lưỡi Băng
tagGDX1ItemSetD123Name|Huyết Kỵ Sĩ
tagItemSetD001BName|Thẩm Phán Bảo Hộ
tagItemSetD002BName|Sự Hài Hoà Thần Thánh
tagItemSetD003BName|Biểu Tượng của Tiếng Gọi Thiên Nhiên
tagItemSetD004BName|Ánh Sáng của Người Tìm Bình Minh
tagItemSetD005BName|Lời Nhắn từ Sứ Giả
tagItemSetD006BName|Dấu Ấn của Thẩm Phán
tagItemSetD007BName|Trang Bị của Kẻ Diệt Quỷ
tagItemSetD008BName|Vũ Khí Huỷ Diệt của Thợ Rèn Súng
tagItemSetD009BName|Người Tiên Phong Hoang Dã
tagItemSetD010BName|Sự Tập Trung của Trí Giả
tagItemSetD011BName|Ý Chí Người Cầu Nguyện
tagItemSetD012BName|Thành Luỹ của Markovian
tagItemSetD013BName|Hiện Thân Rực Lửa của Ulzuin
tagItemSetD014BName|Sự Lừa Dối của Dreeg
tagItemSetD015BName|Bóng Ma của Tử Ấn
tagItemSetD016BName|Sự Hợp Nhất của Iskandra
tagItemSetD017BName|Cơn Cuồng Phong của Ultos
tagItemSetD018BName|Lỗ Thủng Bầu Trời của Trozan
tagItemSetD019BName|Sự Phản Bội của Valdun
tagItemSetD020BName|Khế Ước của Tà Đao Sĩ
tagItemSetD021BName|Khế Ước Hắc Hoả
tagItemSetD022BName|Người Bảo Vệ Ánh Sáng
tagItemSetD023BName|Hoả Ngục Đấu Sĩ
tagItemSetD024BName|Cơn Thịnh Nộ của Agrivix
tagItemSetD025BName|Thành Luỹ Chiến Tranh
tagItemSetD026BName|Sự Điên Cuồng Vô Tận của Huyết Nộ Giả
tagItemSetD027BName|Dấu Ấn Kinh Hoàng của Alkamos
tagItemSetC008CName|Ân Xá
tagItemSetC007CName|Nhà Tiên Tri
tagItemSetC013CName|Sự Điên Loạn Của Kẻ Bội Ước
tagItemSetC015BName|Tàn Sát Điên Cuồng
tagGDX2ItemSetC201Name|Thiết Giáp Của Baldir
tagGDX2ItemSetC201BName|Biểu Chương Của Baldir
tagGDX2ItemSetC202Name|Lôi Xà
tagGDX2ItemSetC203Name|Ngọn Lửa Tàn Độc
tagGDX2ItemSetC204Name|Lời Tuyên Thệ Của Daega
tagGDX2ItemSetC205Name|Thạch Thần
tagGDX2ItemSetD201Name|Hộ Vệ Thế Giới Tan Vỡ
tagGDX2ItemSetD202Name|Kẻ Thống Trị
tagGDX2ItemSetD203Name|Lời Thì Thầm Băng Giá
tagGDX2ItemSetD204Name|Niềm Kiêu Hãnh Của Ludrigan
tagGDX2ItemSetD205Name|Người Rải Xương Tàn
tagGDX2ItemSetD206Name|Ánh Sáng Công Lý
tagGDX2ItemSetD207Name|Cận Vệ Tam Thần
tagGDX2ItemSetD208Name|Tài Khéo Léo Của Harra
tagGDX2ItemSetD209Name|Cuồng Phong
tagGDX2ItemSetD210Name|Nỗi Thống Khổ Của Rah'zin
tagGDX2ItemSetD211Name|Lãnh Chúa Suy Tàn
tagGDX2ItemSetD212Name|Sự Hiểm Độc Của Ghol
tagGDX2ItemSetD213Name|Trang Sức Của Bysmiel
tagGDX2ItemSetD214Name|Ác Quỷ Sa Mạc Korvan
tagGDX2ItemSetD215Name|Sự Trầm Tư Của Pyran
tagGDX2ItemSetD216Name|Kiệt Tác Của Targo
tagGDX2ItemSetD217Name|Linh Hồn Hư Không
tagGDX2ItemSetD218Name|Ác Ma Thối Rữa
tagGDX2ItemSetD219Name|Bộ Giáp Của Bóng Đêm Vĩnh Cửu
tagGDX2ItemSetD220Name|Veilkeeper
tagGDX2ItemSetD221Name|Goredrinker
tagGDX2ItemSetD222Name|Ember's Calling
