tagItemSetC001Name|Guardsman's Raiment
tagGDX1ItemSetD103Name|Shepherd of Lost Souls
tagGDX1ItemSetD104Name|Ardor of Octavius
tagGDX1ItemSetD105Name|The Cataclysm
tagGDX1ItemSetD106Name|Stoneguard
tagGDX1ItemSetD107Name|Stronghold of the Legion
tagGDX1ItemSetD108Name|Korba's Fury
tagGDX1ItemSetD109Name|Darkblaze Garb
tagGDX1ItemSetD110Name|The Spellscourge
tagGDX1ItemSetD111Name|The Mageslayer
tagGDX1ItemSetD112Name|Valguur's Hunger
tagGDX1ItemSetD113Name|The Runebinder
tagGDX1ItemSetD114Name|Uroboruuk's Guise
tagGDX1ItemSetD115Name|Allagast's Masterpiece
tagGDX1ItemSetD116Name|Dagallon's Destruction
tagGDX1ItemSetD117Name|Deathguard
tagGDX1ItemSetD118Name|Diviner's Vision
tagGDX1ItemSetD119Name|Dark One's Gift
tagGDX1ItemSetD120Name|Belgothian's Slaughter
tagGDX1ItemSetD121Name|Radaggan's Folly
tagGDX1ItemSetD122Name|Rimetongue
tagGDX1ItemSetD123Name|The Blood Knight
tagItemSetD001BName|Justicar Guard
tagItemSetD002BName|The Sacred Harmony
tagItemSetD003BName|Nature's Call Regalia
tagItemSetD004BName|Dawnseeker's Light
tagItemSetD005BName|The Harbinger's Message
tagItemSetD006BName|Judicator's Seals
tagItemSetD007BName|Demonslayer's Armament
tagItemSetD008BName|Barrelsmith's Destroyers
tagItemSetD009BName|Wildheart Vanguard
tagItemSetD010BName|The Clairvoyant's Focus
tagItemSetD011BName|Invoker's Will
tagItemSetD012BName|Markovian's Bastion
tagItemSetD013BName|Ulzuin's Infernal Avatar
tagItemSetD014BName|Deception of Dreeg
tagItemSetD015BName|Deathmark's Shadow
tagItemSetD016BName|Iskandra's Unification
tagItemSetD017BName|Ultos' Tempest
tagItemSetD018BName|Trozan's Skybreach
tagItemSetD019BName|Valdun's Betrayal
tagItemSetD020BName|The Vileblade Pact
tagItemSetD021BName|Black Scorch Covenant
tagItemSetD022BName|Light's Guardian
tagItemSetD023BName|The Infernal Champion
tagItemSetD024BName|Rage of Agrivix
tagItemSetD025BName|Warborn Bastion
tagItemSetD026BName|Bloodrager's Endless Frenzy
tagItemSetD027BName|Dread Sigils of Alkamos
tagItemSetC008CName|Amnesty
tagItemSetC007CName|The Augur
tagItemSetC013CName|Oathbreaker's Folly
tagItemSetC015BName|Wanton Carnage
tagGDX2ItemSetC201Name|Baldir's Plate
tagGDX2ItemSetC201BName|Baldir's Regalia
tagGDX2ItemSetC202Name|The Stormserpent
tagGDX2ItemSetC203Name|Festerblaze
tagGDX2ItemSetC204Name|Daega's Oath
tagGDX2ItemSetC205Name|Stonefather
tagGDX2ItemSetD201Name|Shattered Guardian
tagGDX2ItemSetD202Name|The Vanquisher
tagGDX2ItemSetD203Name|Chillwhisper
tagGDX2ItemSetD204Name|Ludrigan's Pride
tagGDX2ItemSetD205Name|Bonemonger
tagGDX2ItemSetD206Name|Virtue's Light
tagGDX2ItemSetD207Name|Sentinel of the Three
tagGDX2ItemSetD208Name|Harra's Artifice
tagGDX2ItemSetD209Name|The Cyclone
tagGDX2ItemSetD210Name|Rah'Zin's Torment
tagGDX2ItemSetD211Name|The Blightlord
tagGDX2ItemSetD212Name|Ghol's Malice
tagGDX2ItemSetD213Name|Bysmiel's Trinkets
tagGDX2ItemSetD214Name|The Korvan Dunefiend
tagGDX2ItemSetD215Name|Pyran's Ruminations
tagGDX2ItemSetD216Name|Targo's Craft
tagGDX2ItemSetD217Name|The Voidsoul
tagGDX2ItemSetD218Name|Rotgheist
tagGDX2ItemSetD219Name|Armor of the Eternal Night
tagGDX2ItemSetD220Name|Veilkeeper
tagGDX2ItemSetD221Name|Goredrinker
tagGDX2ItemSetD222Name|Ember's Calling
