//record|setname|setitems
records/items/lootsets/itemset_c015.dbr|tagItemSetC015Name|records/items/gearaccessories/rings/c017_ring.dbr;records/items/gearaccessories/rings/c018_ring.dbr
records/items/lootsets/itemset_c015b.dbr|tagItemSetC015BName|records/items/upgraded/gearaccessories/rings/c017_ring.dbr;records/items/upgraded/gearaccessories/rings/c018_ring.dbr
records/items/lootsets/itemset_c016.dbr|tagItemSetC016Name|records/items/gearhead/c022_head.dbr;records/items/gearshoulders/c013_shoulder.dbr
records/items/lootsets/itemset_c016b.dbr|tagItemSetC016BName|records/items/upgraded/gearhead/c022_head.dbr;records/items/upgraded/gearshoulders/c013_shoulder.dbr
records/items/lootsets/itemset_c017.dbr|tagItemSetC017Name|records/items/gearhead/c023_head.dbr;records/items/geartorso/c021_torso.dbr;records/items/gearshoulders/c014_shoulder.dbr;records/items/gearhands/c015_hands.dbr;records/items/gearweapons/melee2h/c016_axe2h.dbr
records/items/lootsets/itemset_c017b.dbr|tagItemSetC017BName|records/items/upgraded/gearhead/c023_head.dbr;records/items/upgraded/geartorso/c021_torso.dbr;records/items/upgraded/gearshoulders/c014_shoulder.dbr;records/items/upgraded/gearhands/c015_hands.dbr;records/items/upgraded/gearweapons/melee2h/c016_axe2h.dbr
records/items/lootsets/itemset_c018a.dbr|tagItemSetC018Name|records/items/gearaccessories/rings/c019a_ring_alkamos.dbr;records/items/gearaccessories/rings/c020a_ring_alkamos.dbr
records/items/lootsets/itemset_c018b.dbr|tagItemSetC018NameB|records/items/gearaccessories/rings/c019b_ring_alkamos.dbr;records/items/gearaccessories/rings/c020b_ring_alkamos.dbr
records/items/lootsets/itemset_c018c.dbr|tagGDX1ItemSetC018CName|records/items/upgraded/gearaccessories/rings/c019b_ring_alkamos.dbr;records/items/upgraded/gearaccessories/rings/c020b_ring_alkamos.dbr
records/items/lootsets/itemset_c019.dbr|tagItemSetC019Name|records/items/gearhead/c024_head.dbr;records/items/gearweapons/focus/c013_focus.dbr;records/items/geartorso/c023_torso.dbr
records/items/lootsets/itemset_c019b.dbr|tagItemSetC019NameB|records/items/gearhead/c045_head.dbr;records/items/gearweapons/focus/c030_focus.dbr;records/items/geartorso/c044_torso.dbr
records/items/lootsets/itemset_c020.dbr|tagItemSetC020Name|records/items/gearhead/c025_head.dbr;records/items/gearshoulders/c015_shoulder.dbr;records/items/gearweapons/guns2h/c021_gun2h.dbr
records/items/lootsets/itemset_c020b.dbr|tagItemSetC020NameB|records/items/gearhead/c046_head.dbr;records/items/gearshoulders/c028_shoulder.dbr;records/items/gearweapons/guns2h/c041_gun2h.dbr
records/items/lootsets/itemset_c021.dbr|tagItemSetC021Name|records/items/geartorso/c024_torso.dbr;records/items/gearlegs/c012_legs.dbr;records/items/gearhands/c018_hands.dbr
records/items/lootsets/itemset_c021b.dbr|tagItemSetC021BName|records/items/upgraded/geartorso/c024_torso.dbr;records/items/upgraded/gearlegs/c012_legs.dbr;records/items/upgraded/gearhands/c018_hands.dbr
records/items/lootsets/itemset_c022.dbr|tagItemSetC022Name|records/items/geartorso/c025_torso.dbr;records/items/gearhead/c026_head.dbr;records/items/gearweapons/melee2h/c017_axe2h.dbr
records/items/lootsets/itemset_c022b.dbr|tagItemSetC022NameB|records/items/geartorso/c045_torso.dbr;records/items/gearhead/c047_head.dbr;records/items/gearweapons/melee2h/c035_axe2h.dbr
records/items/lootsets/itemset_c023.dbr|tagItemSetC023Name|records/items/gearhead/c027_head.dbr;records/items/geartorso/c027_torso.dbr;records/items/gearshoulders/c016_shoulder.dbr
records/items/lootsets/itemset_c024.dbr|tagItemSetC024Name|records/items/geartorso/c029_torso.dbr;records/items/gearshoulders/c020_shoulder.dbr;records/items/gearaccessories/waist/c024_waist.dbr;records/items/gearweapons/guns2h/c025_gun2h.dbr
records/items/lootsets/itemset_c024b.dbr|tagItemSetC024BName|records/items/upgraded/geartorso/c029_torso.dbr;records/items/upgraded/gearshoulders/c020_shoulder.dbr;records/items/upgraded/gearaccessories/waist/c024_waist.dbr;records/items/upgraded/gearweapons/guns2h/c025_gun2h.dbr
records/items/lootsets/itemset_c025.dbr|tagItemSetC025Name|records/items/geartorso/c030_torso.dbr;records/items/gearshoulders/c021_shoulder.dbr;records/items/gearaccessories/necklaces/c038_necklace.dbr;records/items/gearweapons/focus/c018_focus.dbr
records/items/lootsets/itemset_c025b.dbr|tagItemSetC025BName|records/items/upgraded/geartorso/c030_torso.dbr;records/items/upgraded/gearshoulders/c021_shoulder.dbr;records/items/upgraded/gearaccessories/necklaces/c038_necklace.dbr;records/items/upgraded/gearweapons/focus/c018_focus.dbr
records/items/lootsets/itemset_c026.dbr|tagItemSetC026Name|records/items/gearhead/c031_head.dbr;records/items/geartorso/c031_torso.dbr;records/items/gearaccessories/medals/c026_medal.dbr;records/items/gearweapons/shields/c018_shield.dbr
records/items/lootsets/itemset_c026b.dbr|tagItemSetC026BName|records/items/upgraded/gearhead/c031_head.dbr;records/items/upgraded/geartorso/c031_torso.dbr;records/items/upgraded/gearaccessories/medals/c026_medal.dbr;records/items/upgraded/gearweapons/shields/c018_shield.dbr
records/items/lootsets/itemset_c027.dbr|tagItemSetC027Name|records/items/gearhead/c032_head.dbr;records/items/geartorso/c032_torso.dbr;records/items/gearaccessories/necklaces/c039_necklace.dbr;records/items/gearweapons/melee2h/c021_axe2h.dbr
records/items/lootsets/itemset_c027b.dbr|tagItemSetC027BName|records/items/upgraded/gearhead/c032_head.dbr;records/items/upgraded/geartorso/c032_torso.dbr;records/items/upgraded/gearaccessories/necklaces/c039_necklace.dbr;records/items/upgraded/gearweapons/melee2h/c021_axe2h.dbr
records/items/lootsets/itemset_c028.dbr|tagItemSetC028Name|records/items/gearaccessories/necklaces/c040_necklace.dbr;records/items/gearaccessories/rings/c036_ring.dbr;records/items/gearaccessories/rings/c037_ring.dbr
records/items/lootsets/itemset_c028b.dbr|tagItemSetC028BName|records/items/upgraded/gearaccessories/necklaces/c040_necklace.dbr;records/items/upgraded/gearaccessories/rings/c036_ring.dbr;records/items/upgraded/gearaccessories/rings/c037_ring.dbr
records/items/lootsets/itemset_c029.dbr|tagItemSetC029Name|records/items/gearaccessories/rings/c038_ring.dbr;records/items/gearaccessories/rings/c039_ring.dbr
records/items/lootsets/itemset_c029b.dbr|tagItemSetC029BName|records/items/upgraded/gearaccessories/rings/c038_ring.dbr;records/items/upgraded/gearaccessories/rings/c039_ring.dbr
records/items/lootsets/itemset_c101.dbr|tagGDX1ItemSetC101Name|records/items/gearhead/c109_head.dbr;records/items/geartorso/c105_torso.dbr;records/items/gearshoulders/c105_shoulder.dbr
records/items/lootsets/itemset_c101b.dbr|tagGDX1ItemSetC101BName|records/items/gearhead/c120_head.dbr;records/items/geartorso/c112_torso.dbr;records/items/gearshoulders/c112_shoulder.dbr
records/items/lootsets/itemset_c102.dbr|tagGDX1ItemSetC102Name|records/items/gearhead/c110_head.dbr;records/items/geartorso/c106_torso.dbr;records/items/gearshoulders/c106_shoulder.dbr
records/items/lootsets/itemset_c102b.dbr|tagGDX1ItemSetC102BName|records/items/gearhead/c121_head.dbr;records/items/geartorso/c113_torso.dbr;records/items/gearshoulders/c113_shoulder.dbr
records/items/lootsets/itemset_c103.dbr|tagGDX1ItemSetC103Name|records/items/gearaccessories/rings/c117_ring.dbr;records/items/gearaccessories/medals/c117_medal.dbr;records/items/gearaccessories/waist/c117_waist.dbr
records/items/lootsets/itemset_c104.dbr|tagGDX1ItemSetC104Name|records/items/gearaccessories/rings/c118_ring.dbr;records/items/gearaccessories/rings/c119_ring.dbr
records/items/lootsets/itemset_c105.dbr|tagGDX1ItemSetC105Name|records/items/gearhead/c122_head.dbr;records/items/geartorso/c114_torso.dbr;records/items/gearweapons/caster/c115_dagger.dbr;records/items/gearweapons/focus/c115_focus.dbr
records/items/lootsets/itemset_c106.dbr|tagGDX1ItemSetC106Name|records/items/gearhead/c123_head.dbr;records/items/geartorso/c115_torso.dbr;records/items/gearweapons/guns1h/c110_gun1h.dbr;records/items/gearaccessories/medals/c118_medal.dbr
records/items/lootsets/itemset_c201.dbr|tagGDX2ItemSetC201Name|records/items/gearhead/c207_head.dbr;records/items/geartorso/c205_torso.dbr;records/items/gearshoulders/c205_shoulder.dbr
records/items/lootsets/itemset_c201b.dbr|tagGDX2ItemSetC201BName|records/items/gearhead/c214_head.dbr;records/items/geartorso/c211_torso.dbr;records/items/gearshoulders/c210_shoulder.dbr
records/items/lootsets/itemset_c202.dbr|tagGDX2ItemSetC202Name|records/items/gearhead/c211_head.dbr;records/items/geartorso/c208_torso.dbr;records/items/gearaccessories/waist/c207_waist.dbr
records/items/lootsets/itemset_c203.dbr|tagGDX2ItemSetC203Name|records/items/gearhead/c212_head.dbr;records/items/geartorso/c209_torso.dbr;records/items/gearshoulders/c208_shoulder.dbr;records/items/gearweapons/focus/c207_focus.dbr
records/items/lootsets/itemset_c204.dbr|tagGDX2ItemSetC204Name|records/items/gearhead/c213_head.dbr;records/items/geartorso/c210_torso.dbr;records/items/gearshoulders/c209_shoulder.dbr
records/items/lootsets/itemset_c205.dbr|tagGDX2ItemSetC205Name|records/items/gearhead/c215_head.dbr;records/items/geartorso/c212_torso.dbr;records/items/gearweapons/shields/c207_shield.dbr;records/items/gearaccessories/medals/c207_medal.dbr
records/items/lootsets/itemset_d001.dbr|tagItemSetD001Name|records/items/gearhead/d007_head.dbr;records/items/geartorso/d009_torso.dbr;records/items/gearshoulders/d009_shoulder.dbr;records/items/gearhands/d010_hands.dbr
records/items/lootsets/itemset_d001b.dbr|tagItemSetD001BName|records/items/upgraded/gearhead/d007_head.dbr;records/items/upgraded/geartorso/d009_torso.dbr;records/items/upgraded/gearshoulders/d009_shoulder.dbr;records/items/upgraded/gearhands/d010_hands.dbr
records/items/lootsets/itemset_d002.dbr|tagItemSetD002Name|records/items/gearweapons/swords1h/d007_sword.dbr;records/items/gearweapons/swords1h/d008_sword.dbr
records/items/lootsets/itemset_d002b.dbr|tagItemSetD002BName|records/items/upgraded/gearweapons/swords1h/d007_sword.dbr;records/items/upgraded/gearweapons/swords1h/d008_sword.dbr
records/items/lootsets/itemset_d003.dbr|tagItemSetD003Name|records/items/gearhead/d008_head.dbr;records/items/geartorso/d010_torso.dbr;records/items/gearshoulders/d010_shoulder.dbr;records/items/gearaccessories/medals/d012_medal.dbr
records/items/lootsets/itemset_d003b.dbr|tagItemSetD003BName|records/items/upgraded/gearhead/d008_head.dbr;records/items/upgraded/geartorso/d010_torso.dbr;records/items/upgraded/gearshoulders/d010_shoulder.dbr;records/items/upgraded/gearaccessories/medals/d012_medal.dbr
records/items/lootsets/itemset_d004.dbr|tagItemSetD004Name|records/items/gearshoulders/d011_shoulder.dbr;records/items/gearaccessories/necklaces/d015_necklace.dbr;records/items/gearweapons/blunt1h/d006_blunt.dbr;records/items/gearweapons/shields/d008_shield.dbr
records/items/lootsets/itemset_d004b.dbr|tagItemSetD004BName|records/items/upgraded/gearshoulders/d011_shoulder.dbr;records/items/upgraded/gearaccessories/necklaces/d015_necklace.dbr;records/items/upgraded/gearweapons/blunt1h/d006_blunt.dbr;records/items/upgraded/gearweapons/shields/d008_shield.dbr
records/items/lootsets/itemset_d005.dbr|tagItemSetD005Name|records/items/gearhead/d009_head.dbr;records/items/gearhands/d011_hands.dbr;records/items/gearweapons/guns2h/d010_gun2h.dbr
records/items/lootsets/itemset_d005b.dbr|tagItemSetD005BName|records/items/upgraded/gearhead/d009_head.dbr;records/items/upgraded/gearhands/d011_hands.dbr;records/items/upgraded/gearweapons/guns2h/d010_gun2h.dbr
records/items/lootsets/itemset_d006.dbr|tagItemSetD006Name|records/items/gearaccessories/rings/d011_ring.dbr;records/items/gearaccessories/rings/d012_ring.dbr
records/items/lootsets/itemset_d006b.dbr|tagItemSetD006BName|records/items/upgraded/gearaccessories/rings/d011_ring.dbr;records/items/upgraded/gearaccessories/rings/d012_ring.dbr
records/items/lootsets/itemset_d007.dbr|tagItemSetD007Name|records/items/gearhead/d010_head.dbr;records/items/geartorso/d011_torso.dbr;records/items/gearaccessories/necklaces/d016_necklace.dbr;records/items/gearweapons/guns1h/d007_gun1h.dbr
records/items/lootsets/itemset_d007b.dbr|tagItemSetD007BName|records/items/upgraded/gearhead/d010_head.dbr;records/items/upgraded/geartorso/d011_torso.dbr;records/items/upgraded/gearaccessories/necklaces/d016_necklace.dbr;records/items/upgraded/gearweapons/guns1h/d007_gun1h.dbr
records/items/lootsets/itemset_d008.dbr|tagItemSetD008Name|records/items/gearweapons/guns1h/d008_gun1h.dbr;records/items/gearweapons/guns1h/d009_gun1h.dbr
records/items/lootsets/itemset_d008b.dbr|tagItemSetD008BName|records/items/upgraded/gearweapons/guns1h/d008_gun1h.dbr;records/items/upgraded/gearweapons/guns1h/d009_gun1h.dbr
records/items/lootsets/itemset_d009.dbr|tagItemSetD009Name|records/items/gearshoulders/d012_shoulder.dbr;records/items/gearaccessories/waist/d015_waist.dbr;records/items/gearweapons/melee2h/d009_blunt2h.dbr
records/items/lootsets/itemset_d009b.dbr|tagItemSetD009BName|records/items/upgraded/gearshoulders/d012_shoulder.dbr;records/items/upgraded/gearaccessories/waist/d015_waist.dbr;records/items/upgraded/gearweapons/melee2h/d009_blunt2h.dbr
records/items/lootsets/itemset_d010.dbr|tagItemSetD010Name|records/items/gearhead/d011_head.dbr;records/items/geartorso/d012_torso.dbr;records/items/gearshoulders/d013_shoulder.dbr;records/items/gearweapons/caster/d015_scepter.dbr
records/items/lootsets/itemset_d010b.dbr|tagItemSetD010BName|records/items/upgraded/gearhead/d011_head.dbr;records/items/upgraded/geartorso/d012_torso.dbr;records/items/upgraded/gearshoulders/d013_shoulder.dbr;records/items/upgraded/gearweapons/caster/d015_scepter.dbr
records/items/lootsets/itemset_d011.dbr|tagItemSetD011Name|records/items/gearaccessories/necklaces/d017_necklace.dbr;records/items/gearaccessories/rings/d013_ring.dbr;records/items/gearaccessories/rings/d014_ring.dbr;records/items/gearweapons/focus/d013_focus.dbr
records/items/lootsets/itemset_d011b.dbr|tagItemSetD011BName|records/items/upgraded/gearaccessories/necklaces/d017_necklace.dbr;records/items/upgraded/gearaccessories/rings/d013_ring.dbr;records/items/upgraded/gearaccessories/rings/d014_ring.dbr;records/items/upgraded/gearweapons/focus/d013_focus.dbr
records/items/lootsets/itemset_d012.dbr|tagItemSetD012Name|records/items/gearhead/d012_head.dbr;records/items/geartorso/d013_torso.dbr;records/items/gearshoulders/d014_shoulder.dbr;records/items/gearweapons/shields/d009_shield.dbr;records/items/gearaccessories/necklaces/d021_necklace.dbr
records/items/lootsets/itemset_d012b.dbr|tagItemSetD012BName|records/items/upgraded/gearhead/d012_head.dbr;records/items/upgraded/geartorso/d013_torso.dbr;records/items/upgraded/gearshoulders/d014_shoulder.dbr;records/items/upgraded/gearweapons/shields/d009_shield.dbr;records/items/upgraded/gearaccessories/necklaces/d021_necklace.dbr
records/items/lootsets/itemset_d013.dbr|tagItemSetD013Name|records/items/gearhead/d013_head.dbr;records/items/geartorso/d014_torso.dbr;records/items/gearshoulders/d015_shoulder.dbr;records/items/gearweapons/guns2h/d011_gun2h.dbr;records/items/gearaccessories/necklaces/d022_necklace.dbr
records/items/lootsets/itemset_d013b.dbr|tagItemSetD013BName|records/items/upgraded/gearhead/d013_head.dbr;records/items/upgraded/geartorso/d014_torso.dbr;records/items/upgraded/gearshoulders/d015_shoulder.dbr;records/items/upgraded/gearweapons/guns2h/d011_gun2h.dbr;records/items/upgraded/gearaccessories/necklaces/d022_necklace.dbr
records/items/lootsets/itemset_d014.dbr|tagItemSetD014Name|records/items/gearhead/d014_head.dbr;records/items/geartorso/d015_torso.dbr;records/items/gearshoulders/d016_shoulder.dbr;records/items/gearweapons/caster/d016_dagger.dbr;records/items/gearaccessories/necklaces/d018_necklace.dbr
records/items/lootsets/itemset_d014b.dbr|tagItemSetD014BName|records/items/upgraded/gearhead/d014_head.dbr;records/items/upgraded/geartorso/d015_torso.dbr;records/items/upgraded/gearshoulders/d016_shoulder.dbr;records/items/upgraded/gearweapons/caster/d016_dagger.dbr;records/items/upgraded/gearaccessories/necklaces/d018_necklace.dbr
records/items/lootsets/itemset_d015.dbr|tagItemSetD015Name|records/items/gearhead/d015_head.dbr;records/items/geartorso/d016_torso.dbr;records/items/gearshoulders/d017_shoulder.dbr;records/items/gearweapons/swords1h/d009_sword.dbr;records/items/gearweapons/axe1h/d006_axe.dbr
records/items/lootsets/itemset_d015b.dbr|tagItemSetD015BName|records/items/upgraded/gearhead/d015_head.dbr;records/items/upgraded/geartorso/d016_torso.dbr;records/items/upgraded/gearshoulders/d017_shoulder.dbr;records/items/upgraded/gearweapons/swords1h/d009_sword.dbr;records/items/upgraded/gearweapons/axe1h/d006_axe.dbr
records/items/lootsets/itemset_d016.dbr|tagItemSetD016Name|records/items/gearhead/d016_head.dbr;records/items/geartorso/d017_torso.dbr;records/items/gearshoulders/d018_shoulder.dbr;records/items/gearweapons/focus/d014_focus.dbr;records/items/gearaccessories/necklaces/d019_necklace.dbr
records/items/lootsets/itemset_d016b.dbr|tagItemSetD016BName|records/items/upgraded/gearhead/d016_head.dbr;records/items/upgraded/geartorso/d017_torso.dbr;records/items/upgraded/gearshoulders/d018_shoulder.dbr;records/items/upgraded/gearweapons/focus/d014_focus.dbr;records/items/upgraded/gearaccessories/necklaces/d019_necklace.dbr
records/items/lootsets/itemset_d017.dbr|tagItemSetD017Name|records/items/gearhead/d017_head.dbr;records/items/geartorso/d018_torso.dbr;records/items/gearshoulders/d019_shoulder.dbr;records/items/gearweapons/melee2h/d010_axe2h.dbr;records/items/gearaccessories/necklaces/d020_necklace.dbr
records/items/lootsets/itemset_d017b.dbr|tagItemSetD017BName|records/items/upgraded/gearhead/d017_head.dbr;records/items/upgraded/geartorso/d018_torso.dbr;records/items/upgraded/gearshoulders/d019_shoulder.dbr;records/items/upgraded/gearweapons/melee2h/d010_axe2h.dbr;records/items/upgraded/gearaccessories/necklaces/d020_necklace.dbr
records/items/lootsets/itemset_d018.dbr|tagItemSetD018Name|records/items/gearhead/d019_head.dbr;records/items/geartorso/d020_torso.dbr;records/items/gearshoulders/d021_shoulder.dbr;records/items/gearweapons/caster/d017_scepter.dbr
records/items/lootsets/itemset_d018b.dbr|tagItemSetD018BName|records/items/upgraded/gearhead/d019_head.dbr;records/items/upgraded/geartorso/d020_torso.dbr;records/items/upgraded/gearshoulders/d021_shoulder.dbr;records/items/upgraded/gearweapons/caster/d017_scepter.dbr
records/items/lootsets/itemset_d019.dbr|tagItemSetD019Name|records/items/gearhead/d020_head.dbr;records/items/geartorso/d021_torso.dbr;records/items/gearweapons/guns2h/d012_gun2h.dbr;records/items/gearaccessories/necklaces/d024_necklace.dbr
records/items/lootsets/itemset_d019b.dbr|tagItemSetD019BName|records/items/upgraded/gearhead/d020_head.dbr;records/items/upgraded/geartorso/d021_torso.dbr;records/items/upgraded/gearweapons/guns2h/d012_gun2h.dbr;records/items/upgraded/gearaccessories/necklaces/d024_necklace.dbr
records/items/lootsets/itemset_d020.dbr|tagItemSetD020Name|records/items/gearhead/d024_head.dbr;records/items/geartorso/d022_torso.dbr;records/items/gearweapons/blunt1h/d007_blunt.dbr;records/items/gearweapons/swords1h/d013_sword.dbr
records/items/lootsets/itemset_d020b.dbr|tagItemSetD020BName|records/items/upgraded/gearhead/d024_head.dbr;records/items/upgraded/geartorso/d022_torso.dbr;records/items/upgraded/gearweapons/blunt1h/d007_blunt.dbr;records/items/upgraded/gearweapons/swords1h/d013_sword.dbr
records/items/lootsets/itemset_d021.dbr|tagItemSetD021Name|records/items/gearhead/d025_head.dbr;records/items/gearshoulders/d022_shoulder.dbr;records/items/gearweapons/caster/d018_dagger.dbr;records/items/gearweapons/focus/d015_focus.dbr
records/items/lootsets/itemset_d021b.dbr|tagItemSetD021BName|records/items/upgraded/gearhead/d025_head.dbr;records/items/upgraded/gearshoulders/d022_shoulder.dbr;records/items/upgraded/gearweapons/caster/d018_dagger.dbr;records/items/upgraded/gearweapons/focus/d015_focus.dbr
records/items/lootsets/itemset_d022.dbr|tagItemSetD022Name|records/items/gearhead/d026_head.dbr;records/items/geartorso/d023_torso.dbr;records/items/gearshoulders/d023_shoulder.dbr;records/items/gearhands/d012_hands.dbr
records/items/lootsets/itemset_d022b.dbr|tagItemSetD022BName|records/items/upgraded/gearhead/d026_head.dbr;records/items/upgraded/geartorso/d023_torso.dbr;records/items/upgraded/gearshoulders/d023_shoulder.dbr;records/items/upgraded/gearhands/d012_hands.dbr
