tagItemSetC001Name|Gardistovo roucho
tagItemSetD024BName|Agrivixův vztek
tagItemSetD025BName|Bašta ze starých válek
tagItemSetD026BName|Nekonečná posedlost vzteklého krvesaje
tagItemSetD027BName|Alkamosovy hrůzné pečeti
tagItemSetC008CName|Milost
tagItemSetC007CName|Předzvěst
tagItemSetC013CName|Zrádcova pošetilost
tagItemSetC015BName|Nechtěné krveprolití
tagGDX2ItemSetC201Name|Baldirův plát
tagGDX2ItemSetC201BName|Baldirovy klenoty
tagGDX2ItemSetC202Name|Bouřný had
tagGDX2ItemSetC203Name|Zničující požár
tagGDX2ItemSetC204Name|Daegina kletba
tagGDX2ItemSetC205Name|Kameňák
tagGDX2ItemSetD201Name|Pokřivený strážce
tagGDX2ItemSetD202Name|Přemožitel
tagGDX2ItemSetD203Name|Mrazivé šepoty
tagGDX2ItemSetD204Name|Ludriganova chlouba
tagGDX2ItemSetD205Name|Obchodník s kostmi
tagGDX2ItemSetD206Name|Světlo ctnosti
tagGDX2ItemSetD207Name|Strážce Tří
tagGDX2ItemSetD208Name|Harrova rafinovanost
tagGDX2ItemSetD209Name|Cyklóna
tagGDX2ItemSetD210Name|Rah'Zinova muka
tagGDX2ItemSetD211Name|Pán zmaru
tagGDX2ItemSetD212Name|Gholova potměšilost
tagGDX2ItemSetD213Name|Bysmieliny cetky
tagGDX2ItemSetD214Name|Korvanský písečný ďábel
tagGDX2ItemSetD215Name|Pyranovo zamyšlení
tagGDX2ItemSetD216Name|Targovo umění
tagGDX2ItemSetD217Name|Pustá duše
tagGDX2ItemSetD218Name|Umrlec
tagGDX2ItemSetD219Name|Zbroj nekonečné noci
tagGDX2ItemSetD220Name|Zavinovač
tagGDX2ItemSetD221Name|Chlemtač krve
tagGDX2ItemSetD222Name|Pyromaniak
