tagItemSetC001Name|Atuendo del Centinela
tagGDX1ItemSetD104Name|Ardor de Octavius
tagGDX1ItemSetD105Name|El Cataclísmo
tagGDX1ItemSetD106Name|Guardapiedra
tagGDX1ItemSetD107Name|Fortaleza de la Legión
tagGDX1ItemSetD108Name|Furia de Korba
tagGDX1ItemSetD109Name|Atuendo del Llama Oscura
tagGDX1ItemSetD110Name|El Azotahechizos
tagGDX1ItemSetD111Name|El Matamagos
tagGDX1ItemSetD112Name|El Hambre de Valguur
tagGDX1ItemSetD113Name|El Atarrunas
tagGDX1ItemSetD114Name|Disfraz de Uroboruuk
tagGDX1ItemSetD115Name|Obra Maestra de Allagast
tagGDX1ItemSetD116Name|Destrucción de Dagallon
tagGDX1ItemSetD117Name|Guardamuerte
tagGDX1ItemSetD118Name|Visión del Adivino
tagGDX1ItemSetD119Name|Regalo del Oscuro
tagGDX1ItemSetD120Name|Masacre de Belgothian
tagGDX1ItemSetD121Name|Locura de Radaggan
tagGDX1ItemSetD122Name|Lengua Escarcha
tagGDX1ItemSetD123Name|El Caballero de Sangre
tagItemSetD001BName|Guardia Justicar
tagItemSetD002BName|La Sagrada Armonía
tagItemSetD003BName|Ropa de gala de la llamada de la naturaleza
tagItemSetD004BName|Luz del Buscador del Amanecer
tagItemSetD005BName|El Mensaje del Heraldo
tagItemSetD006BName|Sellos del Adjudicador
tagItemSetD007BName|Armamento del Matademonios
tagItemSetD008BName|Destructores del Armero
tagItemSetD009BName|Vanguardia Corazón Salvaje
tagItemSetD010BName|El Enfoque del Clarividente
tagItemSetD011BName|Voluntad del Invocador
tagItemSetD012BName|Bastión de Markovian
tagItemSetD013BName|Avatar Infernal de Ulzuin
tagItemSetD014BName|Decepción de Dreeg
tagItemSetD015BName|Sombra de Marcamuerte
tagItemSetD016BName|Unificación de Iskandra
tagItemSetD017BName|Tormenta de Ultos
tagItemSetD018BName|Brecha del Cielo de Trozan
tagItemSetD019BName|Traición de Valdun
tagItemSetD020BName|El Pacto de la Hoja Vil
tagItemSetD021BName|Quemadura Negra de la Alianza
tagItemSetD022BName|Guardián de la Luz
tagItemSetD023BName|El Campeón Infernal
tagItemSetD024BName|Rabia de Agrivix
tagItemSetD025BName|Bastión Batallante
tagItemSetD026BName|Furia Sin Fin del Sanguinario
tagItemSetD027BName|Sello Terrorífico de Alkamos
tagItemSetC008CName|Amnistía
tagItemSetC007CName|El Augurio
tagItemSetC013CName|Locura del Rompejuramentos
tagItemSetC015BName|Carnicería sin Sentido
tagGDX2ItemSetC201Name|Placa de Baldir
tagGDX2ItemSetC201BName|Ropas de gala de Baldir
tagGDX2ItemSetC202Name|Serpiente de Tormenta
tagGDX2ItemSetC203Name|Llamaradas Ulcerosas
tagGDX2ItemSetC204Name|Juramento de Daega
tagGDX2ItemSetC205Name|Padre Pétreo
tagGDX2ItemSetD201Name|Guardián Destrozado
tagGDX2ItemSetD202Name|El Vencedor
tagGDX2ItemSetD203Name|Susurrafrío
tagGDX2ItemSetD204Name|Orgullo de Ludrigan
tagGDX2ItemSetD205Name|Traficahuesos
tagGDX2ItemSetD206Name|Luz de la Virtud
tagGDX2ItemSetD207Name|Centinela de los Tres
tagGDX2ItemSetD208Name|Artificio de Harra
tagGDX2ItemSetD209Name|El Ciclón
tagGDX2ItemSetD210Name|Tormento de Rah'Zin
tagGDX2ItemSetD211Name|El Señor de la Plaga
tagGDX2ItemSetD212Name|Malicia de Ghol
tagGDX2ItemSetD213Name|Abalorios de Bysmiel
tagGDX2ItemSetD214Name|El Demonio de las Dunas de Korvan
tagGDX2ItemSetD215Name|Reflexiones de Pyran
tagGDX2ItemSetD216Name|Artesanía de Targo
tagGDX2ItemSetD217Name|El Alma del Vacío
tagGDX2ItemSetD218Name|Rotgheist
tagGDX2ItemSetD219Name|Armadura de la Noche Eterna
tagGDX2ItemSetD220Name|Guardián del Velo
tagGDX2ItemSetD221Name|Bebesangre
tagGDX2ItemSetD222Name|Llamada del Áscua
