tagItemSetC001Name|帝国卫兵的戎装
tagItemSetD006BName|执法官的印玺
tagItemSetD007BName|屠魔者的装束
tagItemSetD008BName|枪械师的双枪
tagItemSetD009BName|野性之血先锋
tagItemSetD010BName|洞察者
tagItemSetD011BName|召魔者的意志
tagItemSetD012BName|马尔科夫的堡垒
tagItemSetD013BName|奥祖因的炼狱化身
tagItemSetD014BName|德里格的罩衣
tagItemSetD015BName|死亡印记
tagItemSetD016BName|伊斯坎德拉的统一
tagItemSetD017BName|尤尔托斯的风暴
tagItemSetD018BName|特洛赞的升华
tagItemSetD019BName|瓦尔登的背叛
tagItemSetD020BName|毒刃契约
tagItemSetD021BName|黑炎圣约
tagItemSetD022BName|光明卫士
tagItemSetD023BName|炼狱骑士
tagItemSetD024BName|阿格维克斯之怒
tagItemSetD025BName|战争降生战甲
tagItemSetD026BName|血怒者的无尽狂乱
tagItemSetD027BName|行刑者的魔印
tagItemSetC008CName|特赦
tagItemSetC007CName|占卜师
tagItemSetC013CName|毁誓者之愚
tagItemSetC015BName|肆意屠杀
tagGDX2ItemSetC201Name|巴尔迪尔的板甲
tagGDX2ItemSetC201BName|巴尔迪尔的盛装
tagGDX2ItemSetC202Name|风暴巨蛇
tagGDX2ItemSetC203Name|腐败之焰
tagGDX2ItemSetC204Name|戴迦的誓言
tagGDX2ItemSetC205Name|石父
tagGDX2ItemSetD201Name|破碎守卫
tagGDX2ItemSetD202Name|征服者
tagGDX2ItemSetD203Name|凌冽轻语
tagGDX2ItemSetD204Name|路德里根之傲
tagGDX2ItemSetD205Name|贩骨者
tagGDX2ItemSetD206Name|美德之光
tagGDX2ItemSetD207Name|三巫神的哨卫
tagGDX2ItemSetD208Name|哈拉的技艺
tagGDX2ItemSetD209Name|飓风
tagGDX2ItemSetD210Name|拉辛的苦难
tagGDX2ItemSetD211Name|枯萎领主
tagGDX2ItemSetD212Name|高尔的恶意
tagGDX2ItemSetD213Name|拜斯迈的饰品
tagGDX2ItemSetD214Name|科凡沙魔
tagGDX2ItemSetD215Name|皮兰的沉思
tagGDX2ItemSetD216Name|塔戈的技艺
tagGDX2ItemSetD217Name|虚魂
tagGDX2ItemSetD218Name|腐魔
tagGDX2ItemSetD219Name|永恒之夜的盔甲
tagGDX2ItemSetD220Name|帷幕守卫
tagGDX2ItemSetD221Name|污血饮者
tagGDX2ItemSetD222Name|余烬召唤
